question,sample score,text
"Good habits improve our physical, emotional, and/or ﬁnancial health. Select one of your good habits and write an essay persuading readers to make that habit a part of their lives.",4,"When I was 15, my dad helped me start a good habit that I still keep to this day, that is saving 10% of every paycheck. Whenever I get paid, I put 10% of that check into a savings account. I don’t touch that money except for an emergency or special purchase.I’m really grateful to my dad for helping me start this habit, though I wasn’t at the time, because I wanted to buy a car and I didn’t know how I could save up enough money if I didn’t put it all towards the car, but he was right, I did save enough, and then I had money for repairs because I’d saved carefully. The great thing about this habit is, once you’re in it, you don’t feel like there’s any money missing. You use the 90% to ﬁgure out your budget, notthe 100%. In just one year you can save a whole lot of money.You’re probably thinking, like I did, “I can’t afford to put some of my money away, I need it all.” However, you’re wrong. You can afford it, and you’ll be glad because you’ll always have money for an emergency. So get started today!"
"Good habits improve our physical, emotional, and/or ﬁnancial health. Select one of your good habits and write an essay persuading readers to make that habit a part of their lives.",1,"Good habits improve our physical, emotional, and/or ﬁnancial health. I have many good habit. One, is, I saving money every month. Another, is, I excersize everyday. Also, I am eating healthy. I also do not never use the bad language.28  I am pride of my good habits. What habits do you do that are good for you? Save money like me, also excersize all the time, and eat healthy. It will be wise to do."
Is there a book that you feel should be required reading for everyone? Write an essay persuading your audience to read this book.,6,"Most people know who Frankenstein is—or at least they think they do. Because of the way Mary Shelley’s brilliant 1818 novel has been adapted to ﬁlm, most Americans think that Frankenstein is a towering, scar-faced mon- ster who brings terror wherever he goes. In Shelley’s novel, however, the real monster is Victor Frankenstein, the scientist who is the monster’s cre- ator. In her story of how Victor Frankenstein creates the monster and what he does after the monster comes to life, Shelley conveys several timeless messages about the dangers of science, the dangers of isolation, and the importance of being a good parent. It is a novel that everyone should read. In the story, Frankenstein, eager for glory, wants to discover the “elixir of life” so that he can have the power to bring the dead back to life. He wants to create a new race of superhuman beings and wants them to wor- ship him like a god. He wants to unlock the secrets of nature and use that power for his own selﬁsh goals. Shelley’s novel warns us that we must be careful what we do with science—how we apply the knowledge we discover. For when Frankenstein does discover the “elixir of life,” and when he does create a superhuman being, he creates a creature that is beyond his control. The creature is more powerful and more intelligent than Victor Franken-stein, and the creature engineers Frankenstein’s demise.Shelley’s novel also warns us about the dangers of isolation. Franken- stein’s creation is so revolting and dangerous in part because Frankenstein works completely alone. He becomes so absorbed with his project that he completely blocks out family and friends. He stops communicating with others and works secretly; he does not consult others about his project, partly because he knows that what he is doing is wrong, partly because he wants all the glory. But because he does not work with others, because he loses touch with his community of family and friends, he also loses touch with his responsibility to other human beings. When the creature comes to life, Frankenstein runs away, abandoning his creation even though he knows the creature might harm others.29  This abandonment brings us to the novel’s third timeless message: the importance of being a good parent. Frankenstein creates a living being and then abandons him because he is an “ugly wretch.” He totally ignores his responsibility to the creature, who is born as innocent as a child, even though he is the size of a giant. The creature is abhorred by everyone he meets, and because no one has ever shown him love, he learns to hate. And the person he comes to hate most is the father who abandoned him. Shel- ley’s message is clear: you are responsible for what you create, and if you are a parent, you must love your child, whatever his or her appearance.In our age of cloning and genetic engineering, of scattered communities and neighbors who don’t know each other’s names, of abandoned children and abusive parents, Shelley’s book may have more importance than ever. It is also a powerful and suspense-ﬁlled tale. Will Frankenstein capture the creature? Will he create a “bride” for the monster? Will Walton, the ship captain who records Frankenstein’s story, learn from Frankenstein’s tale? Find out for yourself. Grab a copy of this amazing novel and enjoy."
Is there a book that you feel should be required reading for everyone? Write an essay persuading your audience to read this book.,4,"Frankenstein isn’t who most people think he is, which is the monster. The real Frankenstein is the scientist who brings the monster to life. You’d know this if you read one of the greatest novels ever written, Mary Shelley’s Frankenstein, a book that I think everyone should read. This book is great because its suspensefull and teaches some important lessons, these lessons are maybe even more important to day than they were in Shelly’s time. (Which was the 1800s.)One lesson is about how to use science. Dr. Frankenstein in the story dis- covers how to bring a dead person back to life. But everything goes wrong after the creature wakes up. What was supposed to be a great thing that would bring Frankenstein all kinds of glory and make him like a master cre- ator instead brought him and lots of other people all kinds of terrible hor- ror. I think Mary is telling us to be very careful how we use science.She also is telling us in this story to stay close to others. Frankenstein makes the creature all by himself. While he’s working on the monster; he doesn’t talk to anyone, no one in the university knows what on earth he’s up to, he’s got a big secret. He’s so obsessed and he forgets to think about what will happen once this giant creature comes to life. He doesn’t think about being responsi- ble to and for the creature. Because he worked alone he forgot about that.The third lesson is that we need to be good parents. Frankenstein is like the creature’s father and mother. He created him, and he needs to take care30  of him. But he doesn’t, he just runs away. That’s when his horror begins, and the creature’s, too. The poor creature is hated by everyone and his life is really sad.Read this excellent book!"
Is there a book that you feel should be required reading for everyone? Write an essay persuading your audience to read this book.,1,"Every school has required reading that all the kids are required to read for school. There are lots of different books on this list, I read some of them, some of them are good but I dont like them all.One book that hard to read but I liked it, was, Frankenstien. The story of the monster. Frankenstin makes this monster out of dead body parts. Then he makes the monster come to life, through some secret way he doesn’t tell anybody about. Then he runs away and gets attacked and becomes a killer because everyone hates him. Frankenstine, is a really good story."
Some people think of the United States as a nation of “couch potatoes.” Write an essay persuading readers to be more physically active.,6,"Is your favorite place in the home sitting on the couch in front of the tele- vision? Do you spend hours and hours there each day, surrounded by bags of chips and cans of soda? Do you panic when you can’t ﬁnd the remote control and think that you might actually have to get up off of the sofa to change the channel?If you answered “yes” to any of these questions, you are not alone. In fact, you are one of the millions of Americans who are “couch potatoes”: peo- ple who spend their days and nights “vegging out” in front of the “tube.”Well, spud, it’s time to get up out of that armchair and get some exercise! I know how seductive television can be. I know how easy it is to plop onto the sofa and lose yourself in the world of sports, reality shows, and good- old make-believe. I know how mesmerizing MTV and other channels can be and how hard it can be to pull yourself away. But all that television spells disaster for your body because it needs to be active to be healthy. And it’sno good for your mental health or social life, either.Think about what all that time in front of the television is doing to your body. Think about what all that sagging muscle and growing belly is doing to your life. Think about how your lack of energy affects you at work.Now think about how different things would be if you spent some of that31  TV time getting exercise instead: You would feel better during the day. You would sleep better at night. You would have more energy. You would look better. You would have more conﬁdence. You would be more creative. You would be healthier and happier. And you would not even miss the television. What sort of exercise can you do? Anything! Go for a walk. Ride a bike.Jog. Lift weights. Take an aerobics class. Do yoga. Join a basketball or hockey league. Swim. Roller blade. Grab a friend, a fellow couch potato, and exercise together.You can start with just ﬁfteen minutes a day, two or three days a week, and build up slowly. Before you know it, your couch potato days will be over, and you will wonder how on earth you ever spent so much time in front of the TV."
Some people think of the United States as a nation of “couch potatoes.” Write an essay persuading readers to be more physically active.,4,"Americans everywhere are “couch potatoes.” These are people who just sit in front of the TV all day and night. They spend so much time on the couch they’re almost becoming part of the couch. They don’t ever want to get up to change the channel, so the remote control is like a part of their hand. Is that what you’re like? Do you spend too much time in front of the TV? Well, it’s time to stop being a couch potato. You need to take care of your body. It’s time for you to get up and get some excercise.If you lay around all day, think of how that’s just not good for you. It’s not healthy. You need to get excercise to be healthy. Physical activity at least three times a week will get you back in shape. It will help you have a healthy heart, better sleep, and less likely to get sick and diseases because your immune system will be stronger. Furthermore, you’ll have more energy and just feel better. This is especially good for you at work. In addition, you’ll be more conﬁdent because you will look better and ﬁt into nicer clothes. When you feel better about yourself, you’re happier.Its easy to get excercise. You can do some jumping jacks or jog or play tennis. Even just walking to the store instead of driving can help. Maybe you could join a gym or a sports team, like a basketball team in your neigh- borhood. Or ask a friend whose also a couch potato to excercise with you. Its easier when you have someone to excercise with.So do yourself a favor, stop spending so much time in front of the TV!You’ll be proud when your days as a couch potato are over."
Some people think of the United States as a nation of “couch potatoes.” Write an essay persuading readers to be more physically active.,1,"For some people’s thinking, there are to many “couch potatos”, all across the American country. There are lying on there couchs all the time, doing32  nothing. Except watching the TV all the time. Whereas they not getting any excersizing, not anything at all. Theres so much to do, like jogging or walking or tennis instead.The couch potatos, they should not be just on the couch, but also excer- sizing. Think about being this like a potato. Is not a good thing! Instead, to be like a lion or strong like a bull."
"Nowadays, the private life of a politician is hardly private. In your opinion, should we be so concerned with the private affairs of a politician or political candidate? State your position and support it with speciﬁc reasons and examples.",6,"When you think of former president Bill Clinton, what’s the ﬁrst thing that comes to mind? Unfortunately, for many people, the ﬁrst thing they think of is Monica Lewinsky. Like millions of people around the globe, I was hor- riﬁed by how much the investigation delved into Mr. Clinton’s private affairs. No one needed to know the sort of details that were revealed by Ken Starr’s investigation. But while I don’t want to know the details, I do believe we have a right to know what sort of lives our politicians are living. I believe their behavior in private is a reﬂection of their true values and how they will behave in ofﬁce.For example, if a politician lies to his or her spouse (I’m talking about big lies, like inﬁdelity, not little white lies), that tells us something about his or her character. In my opinion, this person is not to be trusted. I wouldn’t have faith that this politician would keep his or her word. True, the rela- tionship between a husband and wife is very different from that between a politician and his or her constituents. But the politician’s respect for that relationship and how he or she deals with any problems in that relationship reﬂects his or her level of integrity.Similarly, if a politician (or political candidate) behaves in an illegal man- ner, that shows a disrespect for the law. A government ofﬁcial who employs an illegal resident as a nanny or housekeeper, for example, or pays a nanny or housekeeper under the table to avoid taxes is acting as if he or she is above the law—or demonstrating that he or she simply doesn’t care about the law. This is not the kind of person I want in a public ofﬁce.On the other hand, if a politician leads a respectable, law-abiding life at home, we can expect a respectable, law-abiding performance in ofﬁce. A politician who deals honestly with family, friends, and business associates is likely to deal honestly with his or her constituents as well. A politician who33  respects the law in all aspects of his or her private life is likely to respect the law while in ofﬁce, too. A candidate who behaves in a cautious, reserved manner regarding his or her personal affairs is likely to bring a similar approach to the ofﬁce.I know that nobody is perfect and that every politician may have skele- tons in the closet. I’m not talking about transgressions from the distant past. But I am concerned with a politician’s recent past and current behavior. Is he or she honest or does he or she break promises? Does he or she behave recklessly or in a thoughtful and controlled manner? We cannot separate who we are personally from who we are professionally. That is why I believe the public has a right to know."
"Nowadays, the private life of a politician is hardly private. In your opinion, should we be so concerned with the private affairs of a politician or political candidate? State your position and support it with speciﬁc reasons and examples.",4,"Politicians live very public lives. If their big politicians (like the president, for example), they don’t really have any privacy. Everybody knows every- thing they do. This probably bothers some people, however, I actually think that is a very good thing. I think we need to know what politicians are really like. How they are at home (in private) tells us about how they will be in the ofﬁce.It’s true that we are different at home and in the ofﬁce. However, we’re still the same person. In other words, we will pretty much act the same, on the same values and principals, whether we’re at home or in the ofﬁce. If we would steal or lie at home, we would probably steal or lie in the ofﬁce. So, if a politician lies to his wife, for example, or to her business partners, then we can probably expect them to lie to the people who elected them.On the contrary, if a politician lives an honest life and always obeys the law. We can probably expect them to behave honestly and lawfully when they are in ofﬁce. Because like I started to say before, you can’t separate home and work. We’re the same person in both places.So, in conclusion, it’s a good idea to have knowledge about politician’s private affairs. They probably don’t like it and want things to be private. However, since they are our elected ofﬁcials, they have to be public, unfor- tunately for them about almost everything."
"Nowadays, the private life of a politician is hardly private. In your opinion, should we be so concerned with the private affairs of a politician or political candidate? State your position and support it with speciﬁc reasons and examples.",1,"The politicians, they have privacy in there homes. For them too much is knowed about everything what they is doing. This is bad; for them. Whereas, knowing the public are a very good thing for us. If lying and steal- ing there, also here. Don’t you agree? It is clear. If they are a liar at home,34  we will be lying to also. So therefore, in my opinion, “we should be so con- cerned with the private affairs of a politician or political candidate.”"
Today’s top professional athletes often have salaries and bonuses in the tens of millions of dollars. Do you think these athletes deserve such high compensation? Why or why not? Explain your position and use speciﬁc reasons and examples.,6,"When he was at the height of his basketball career, Michael Jordan was making approximately $300,000 per game. That’s more than most people make in a year; indeed, it’s more than some people earn in a lifetime. Yes, Michael Jordan was a phenomenal basketball player. Yes, he was also a fan- tastic role model. But no, he did not deserve to earn such a ridiculously high salary. Jordan, like many other top professional athletes, was grossly over- paid.Why do top athletes earn such inﬂated salaries? Because they bring big bucks into their cities and franchises. But what sort of service do they pro- vide to society? Do they save lives? No. Do they improve the standard of living or promote positive social change? No. Do they help keep our streets safe or educate our kids? No. True, many of the top athletes are good role models for our children. But seven-ﬁgure salaries don’t always mean model behavior. Take N.B.A. star Latrell Spreewell, for example, who choked and threatened to kill his coach.It is true that professional athletes work hard, and many have spent their lives pursuing their goals. It is also true that most professional athletes have a relatively short career span—a decade perhaps at the top of their game. Limited as their professional sporting career may be, they don’t deserve such high salaries. After their professional sports careers are over, they can certainly pursue other careers and work “regular” jobs like the rest of us. Ending their stint as professional athletes doesn’t mean they have to stop earning incomes. They just have to earn incomes in a different way. Why should they be any different from the rest of us who may need to switch careers?It is also true that professional athletes may be injured while on the job; their work is indeed physical, and especially in contact sports like football, injuries are bound to happen. But, like the rest of us, they have insurance, and in nearly all cases, their exorbitant salaries more than cover their med- ical costs. And theirs is not the only high-risk job. What about miners, con-35  struction workers, or ﬁreﬁghters? They are at risk for physical injury every day, too—injuries that could likewise end their careers. But they sure aren’t earning millions of dollars a year.It is also true that professional athletes may spend years and years prac- ticing with farm teams for a fraction of the salary they receive once they make it to the top. But in every career path, we start off with lower wages and must pay our dues and work our way up. Besides, farm team salaries are not always so low.We’re a sports-crazy country, a nation of fanatic sports fans and celebrity worshippers. We’re awed and entertained by the best of them—the Michael Jordans, the Alex Rodriguezes, the Emmitt Smiths. But as much as they may inspire and amuse us, professional athletes do not deserve such high salaries. Those millions could be much more wisely spent."
Today’s top professional athletes often have salaries and bonuses in the tens of millions of dollars. Do you think these athletes deserve such high compensation? Why or why not? Explain your position and use speciﬁc reasons and examples.,4,"Do athletes get paid too much? You bet. That’s my opinion.Professional athletes, what do they do with all that money? Imagine Michael Jordan earning $300,000 per game! Plus all his money from Nike and other advertising. I think that money can be put to much better use in this country.Professional athletes should get good salaries, but not the millions like they get now. It’s just too much. Their job isn’t dangerous, except maybe for football or ice hockey where it’s easy to get a bad injury. It’s easy to get a bad injury in lots of other jobs, too, like construction, but they don’t get millions of dollars. I guess, the difference is that nobody likes to watch construction workers. There’s fun in the game and people like the competition, sports teams bring lots of money into a city’s economy.If professional athletes could guarantee they’d also be a good role model for kids, then maybe they could have such high salaries. Because they’d be doing something good for society since so many kids are watching. For now though, it’s too much."
Today’s top professional athletes often have salaries and bonuses in the tens of millions of dollars. Do you think these athletes deserve such high compensation? Why or why not? Explain your position and use speciﬁc reasons and examples.,1,"Today the athleets so much money. Millions an millions of the dollars. They playing baseball, basketball; football, even for golf. This is the not of the dangerous sport, even less than many of the others.The money, it’s too much, giving mine opinon. For the teems and the citys its so much there’s else to pay for with the money, like homelessness. This is the need to be changed.36  "
