,Title,Author,Fandoms,Required_tags,Datetime,Tags,ChatGPT_Tag,Summary,Language,Words,Chapters,Comments,Kudos,Bookmarks,Hits,Chapter_text
37,Drawn from Life,Daegaer,Saiyuki (Anime & Manga),[],23 Mar 2023,"['No Archive Warnings Apply', 'Kami-sama (Saiyuki)', 'Original Child Character(s)', 'Monks', 'Teenagers', 'Children', 'Mentor/Protégé', 'Art', 'Drawing', 'Memory Alteration']",No,A nameless disciple practices his artistic skills.,English,500,1/1,,,,0,"""The Holy Lady said I could keep this and some pencils and a sharpener,"" Pem said, waving the school exercise book in his face.""She probably wants you to practice writing,"" he  said. ""I could recite a mantra and you could write it down.""""For drawing!""""Let's both draw pictures, then.""He filched one of Pem's new pencils and sharpened it to a perfect, fine point. Lovely. And these ones had erasers on the end! They weren't great quality, but it was better than nothing.Pem sat cross-legged on his bed beside him, already scribbling away as he pulled the chair over to lean on.""Can I sleep here tonight?""""That would be nice, wouldn't it? Hassan said you have to sleep in the dorm, though.""The utterly tragic sigh made him grin, thinking of how he'd often done the same, looking up at his master sadly until he'd got what he was after. Sometimes it had even worked. He started sketching his master's lovely face: the unkempt dark hair falling down across his forehead, his wicked smile – He hadn't left enough room to draw him full-length, but he could – On a whim he sketched out the upper body and then started on the details, smiling as he dressed his master in Sharak-Sanzo's odd style of wearing the robes. He worked on, caught up in the moment, as Pem chattered away beside him.There. He still needed to properly shade the whole thing and add depth, but he certainly had the basics, his master in three-quarter view, as if turning, his smile so sly and amused. It was funny to see him dressed like that, his shoulder bared, the under robe sleeve cinched about his bicep, the black silk tight across the flat, muscular planes of his chest and abdomen. From nowhere he had a flash of his own hand, fingers slowly spreading out, pale against black silk, feeling the heat of a living body beneath his palm. The image hit with a shock of warmth in his lower stomach, and his heart beat seemed very loud in the room. What the –""Big Brother, Big Brother, look!""He slowly looked around.""What? Uh, what's that, Pem?""""Look, this is you, and this is me, and this is that yak that chased you that time!""""Hey, I chased the yak!""Pem giggled. ""And then I saved you from her!""""Maaaaybe you did, kiddo. Maybe.""""Definitely.""He looked back at his handiwork. It was just a sketch of his master. It wasn't bad, but he could improve it. He looked at in for a long moment as Pem laughed about yaks. It was fine. He felt fine. He was really happiest with the way he'd drawn the Muten, snaking down from his master's right shoulder to his waist, to be secured by his belt, he'd done it very well. His technique in drawing the fabric was what he needed to concentrate on.He put the weird feeling aside, to be safely forgotten."
38,cavalier,gunslinger (pillars),BoBoiBoy (Cartoon),[],23 Mar 2023,"['Rape/Non-Con', 'Underage', 'Fang (BoBoiBoy)', 'Sai (BoBoiBoy)', 'Incest', 'Sibling Incest', 'Brother/Brother Incest', 'Vaginal Fingering', 'Masturbation', 'Trans Male Character', 'Trans Character', 'Trans Male Fang (BoBoiBoy)', 'FTM Fang (BoBoiBoy)']",No,Sai walks in on Fang.,English,227,1/1,,,,0,"""Oh, fuck, oh, fuck, Captain,"" Fang croons as he curls his fingers inside of him, his hips rolling up to chase down that sweet, sweet friction that he likes so much, when his roommate suddenly opens their door.Fang lets out a gasp, his face flushing bright pink, but Sai just crosses his arms over his chest, his face blank and unreadable, as he leans against the doorway and makes his way toward him, sauntering aggravatingly slowly.
""I think you forgot to lock the door,"" Sai says, his light green eyes gleaming, as Fang fists into his sheets, fumbling to throw his blanket over his body but he's too late because Sai is walking towards him. ""That means anyone could just walk in and see you like this, Fang.""

Hot tears sting the corners of Fang's eyes as Sai crawls on top of him, pinning Fang down under his weight, a knee pressed to each side.

Sai presses his fingers, longer than Fang's and almost as thick as Fang's big brother Kaizo's, against Fang's folds, still perfectly wet and slick, and forces their way inside of Fang as Fang writhes and squirms underneath him, a smirk tugging at the corners of his mouth as he slowly brings Fang to a finish, making him squirt on his fingers, creaming against his palm, calling his name instead of Kaizo's."
39,Burned for Better,alightlefton,Red White & Royal Blue - Casey McQuiston,[],23 Mar 2023,"['No Archive Warnings Apply', 'Alex Claremont-Diaz', 'Henry Fox-Mountchristen-Windsor', 'Oscar Diaz (Red White & Royal Blue)', 'June Claremont-Diaz', 'Drabble Sequence', 'Angst and Hurt/Comfort', 'Emotional Hurt/Comfort']",No,A sequence of four drabbles for thebrownstone's 100 word challenge.Prompt: PeaceTitle from 'The Great War' by Taylor Swift.,English,400,1/1,,,,0,"Alex's back is to Henry when he enters the kitchen. Enticing smells fill the air. David nips excitedly at Henry's feet. Everything is just like dozens of other peaceful evenings. Except Henry hasn't walked over to kiss Alex.Alex turns around, arms crossed, face terrifyingly unreadable.""I'm sorry,"" Henry blurts out.""I'm sorry too,"" Alex says. ""For every shitty thing I said.""""I deserved it.""""No, you didn't. But you know what I didn't deserve? Two days of radio silence.""Henry's nails dig into his palm when Alex's eyes start glistening.""You left, Henry. Even after you promised you wouldn't.""***Henry watches Alex sit alone at the pier.""You wanna talk about it?""Oscar's looking at him sympathetically. Henry sighs.""You know what happened?""Oscar nods.""I've apologised. For leaving. He says everything's fine. But … he's withdrawn. From me."" Henry's voice catches. ""I've lost his trust, I think.""""Y'know, I realised the real reason for my divorce only years later,"" Oscar says thoughtfully. ""Watching Ellen be so successful, it scared me. I felt I'd never be good enough. For her. For myself.""He pats Henry's shoulder. ""Figure out what part of you is scared, mijo. Then, make peace with it.""***""I dunno why things are so … awkward, Bug. We made up, y'know. Laid down our weapons, declared a truce, negotiated an armistice.""""Progress on the peace treaty seems stalled though,"" June comments.Alex chuckles reluctantly.""I've watched you this weekend, Alex. You're overthinking everything you say. But Henry didn't leave because of you.""""I said some fucked up shit that day.""""Alright, but it probably wasn't the main reason. You both need to communicate, about why leaving is his go-to response, about what it reminds you of. But if you blame only yourself, there's no space for that conversation. Yeah?""***""When I ran after kissing you, I was scared you'd never love me. When I ran from the lake house, I was scared you would. I'm not certain what scared me last month. Before us, I would've hidden the feeling in a locked room. I don't want to do that anymore. I want to address this with Dr. Stevens, but … it might take awhile. Be patient with me?""""Baby, of course. And maybe we could have some sessions together? I lashed out too. I never want to make you feel like you need to leave your home to find peace."""
40,idk what to name this atp,harnomt,原神 | Genshin Impact (Video Game),[],23 Mar 2023,"['No Archive Warnings Apply', 'Alhaitham (Genshin Impact)', 'Zhongli (Genshin Impact)', 'Gay Character', 'Top Alhaitham (Genshin Impact)', 'Bottom Zhongli (Genshin Impact)', 'Gay Sex', 'Anal Sex']",No,smut i suppose...(this is the first ever smut i wrote so.. don't judge^^),English,503,1/1,,,,0,"As Alhaitham and Zhongli set out on their adventure together, they could feel the heat building between them. Alhaitham was a fierce warrior from the desert lands, with rippling muscles and a sharp mind. Zhongli was an enigmatic figure, calm and collected with a wisdom that belied his age.As they traveled through the rugged terrain, they encountered many challenges, but with each victory, their attraction to one another grew stronger. It was as though they were two halves of a whole, perfectly complementing each other in every way.At night, Both Alhaitham and Zhongli were sleeping in the same room. While Alhaitham was in the room, Zhongli suddenly walked out of the bathroom with only a white robe on. Alhaitham couldn't resist any longer. He walked close to Zhongli and pressed his lips to Zhongli's, and the sparks that flew between them ignited a wildfire of passion. Zhongli's eyes widened in surprise but slowly began kissing back.Alhaitham pushed Zhongli onto the bed and took off Zhongli's robe swiftly. Zhongli's eyes widened and said ""W-what are you doing, Alhaitham? Which Alhaitham replied with ""don't worry... just relax and enjoy"" Before Zhongli could say anything, he felt two fingers slowly enter his arse. It was a weird sensation but it was pleasurable. Zhongli's protests turned into moans of pleasure.Two fingers turned into four. Suddenly, Zhongli felt something large enter him. Zhongli's eyes widen in pleasure and slight pain and his stomach had a bulge. Alhaitham sighed in pleasure from the tightness and warmness surrounding his shaft. Alhaitham waited for Zhongli to adjust before moving. His speed increased rapidly and so did Zhongli's loud moans of pleasure.Alhaitham's shaft hit a specific spot which was obviously Zhongli's prostate which caused Zhongli to roll his eyes in pleasure and tears rolled down his face. Zhongli's hands clenched his sheets beneath him tightly as Alhaitham thrusted harder and faster.Zhongli could not get enough of it. He begged Alhaitham to go faster and harder and Alhaitham complied happily.Zhongli moaned louder and louder in pleasure and Alhaitham was groaning. Alhaitham gripped Zhongli's hips so tightly that it had left red mark and Zhongli was scratching Alhaitham's back. Alhaitham kissed Zhongli as he thrusted. The kiss was sloppy and messy but non of them cared.  Alhaitham suddenly came inside of Zhongli which made him feel very full from Alhaitham's load. Soon after, Zhongli came too. But they both fucked through their orgasms

They did the deed until the bright sun rose and until one of them passed out from exhausting themselves. When they woke up, Zhongli and Alhaitham's hair was a mess and Zhongli's body was litered with red marks and Alhaitham was litered with scratches. They both showered together and did the deed once again in the shower then continued on with their day together after that.-THE END

( this is the original story. If you see the exact same story and the writer's username isn't harnomt then it isn't the original. Thank you. <333 )"
41,Snow More Lies,kron_luvr,"Hunger Games Series - All Media Types, Harry Potter - J. K. Rowling",[],23 Mar 2023,"['Graphic Depictions Of Violence', 'Major Character Death', 'Katniss Everdeen', 'Peeta Mellark', 'Gale Hawthorne', 'Coriolanus Snow', 'Snow Family (Hunger Games)', 'Marauders (Harry Potter)', 'Werewolf Character(s)', 'Werewolf Bites', 'Alternate Universe - Werewolf', 'Werewolf Mates', 'Werewolf Turning', 'Werewolf Culture', 'Werewolf Reveal', 'Werewolf Harry', 'Werewolf Jeon Jungkook', 'Vampires', 'Alternate Universe - Vampire', 'Vampire Bites', 'Character Turned Into Vampire', 'Vampire Kim Seokjin | Jin', 'District 12 (Hunger Games)', 'District 13 (Hunger Games)', 'Arena (Hunger Games)']",No,"Katniss chose Peeta. Over him. Over Gale Hawthorne. And while Katniss and Peeta went on in their blissful relationship, he was left, wretched, angry, jealous... grieving. Grieving for what might have been, what should have been. His heart had been ripped out, torn to strips. Maybe he would never be able to mend it again.But then, in a weird twist of fate, he meets someone, someone he had met long ago, but had forgotten about. Old feelings, buried under the pain, dredges up. Sparks fly. The world is always alright with him. Maybe Gale has a shot at romance after all.There is a problem, however. Gale has a secret. A big one. And when he looks into the eyes of his other half, he knows that he has a big one of his own too.",English,238,1/1,,,,2,"Author’s NotePeople say writing a book is tough, yet I think writing the acknowledgements is tougher. What if I forget someone? Someone who gave me motivation to write, maybe through helpful words, or a reassuring pat on the back. So, I hope I haven't forgotten anyone I love here, and I sincerely apologize if I do.First, to my delightful editor, kron_luvr, without whom this book will be impossible. Your talent and your wit made this book the best it could ever be.Second, to my publisher, kron_luvr, who believed in me despite this being my first book, and despite all the doubts, took me on. I give you my many thanks.To my parents, I give all my love. Many quarrels, many fights, yet we made it.My brother, who never reads anything I write.And finally, to my comrade-in-arms, rum_ron_x_krum. I wrote this book solely with you in mind. Disclaimer: This is a work of fiction. Unfortunately, not much research has been done in werewolves AND vampires. Any mistakes made are mine, and mine alone.Dear reader, I hope you enjoy this book, a book of hurt, of anguish, of emotion, of feel…of love.kron_luvrI dedicate this book to all the men around the world that neverhad a strong, masculine male role model growing up to teachthem about the cold, hard truth of modern women and the world we live in."
42,Recycled Love,Limilyyyyy,Overwatch (Video Game),[],23 Mar 2023,"['Major Character Death', 'Fareeha ""Pharah"" Amari', 'Angela ""Mercy"" Ziegler', 'Fluff and Angst', 'Modern Era', 'Alternate Universe - Modern Setting', 'Alternate Universe - Modern: No Powers', 'Out of Character', 'Unrequited Love', 'technically unrequited love', 'Non-Canon Relationship', 'Non-Canon Lesbians', 'Other Additional Tags to Be Added', 'Mentioned Ana Amari', 'Author is a Hopeless Romantic']",No,"After being friends for so long, Fareeha finally self-admits her feelings for Angela. She plans out a perfect afternoon for just the two of them, but something goes wrong. She will never be able to forget this day, even if she really tries to. This fic is OOC because I don’t know much about Pharah.",English,151,1/?,,,,0,"Chapter Text
IntroductionSome people live their lives in bliss, while others may not have a life worth living. That’s just how humanity operates, I suppose.You are born into a world that practically has your entire life planned out for you. That’s not always the case, some are truly fortunate enough to take every curve life offers to them.Even if you’re at the bottom of the barrel, light always finds a way to shine in. I have met a lot of people, most of them have whispered their troubles to me. But the most magnificent speeches leave the lips of the poor and dying when they speak about the people around them.
Love. 
Love is what holds everyone together. Even those who feel as though there couldn’t be a soul on Earth who loves them, will find someone. Never give up.
Even I loved someone. 
And sometimes I wish I hadn’t."
43,"My name is Cat, Duh",mac006,Original Work,[],23 Mar 2023,"['No Archive Warnings Apply', 'Corruption', 'trigger word', 'Hypnosis']",No,A pair of women are discussing their love lives when one says a word and triggers the other woman to change.,English,838,1/1,,1,,8,"""So, how is Dave?"" Eleanor asked her friend, Catherine. ""Oh, he is fine, recently we tried some role-play in bed. It was fun. I played a bitch and he played a helpless man who couldn't say no to me."" Catherine answered back. ""You, a bitch, I could never imagine it."" Eleanor said, in a confused voice. In all the years she had known Catherine, she had known her to be the kindest woman she knew. Catherine would work at a homeless shelter when the pair were in college and was one of the people in charge of the yearly can food drive around Thanksgiving. Once the pair left college, Catherine still donated to the local homeless shelter, and while she didn't go every week anymore, she tried to go a few times a year. ""Yeah, it is really different than what I normally am. I go by Cat, and I act like a seductress. It really improved our love life. I think you and Carmicheal should try it."" Catherine explained. She then blushed, suddenly feeling embarrassed that she had told her best friend such a silly thing. ""I don't know Catherine, or should I call you Cat then."" Eleanor said as a joke. Catherine blushed again and wondered if she should not have told her the story, especially since as Eleanor said, she and Carmicheal had no real issues in bed. Catherine sighed and laughed a bit. ""Well, I'm ending the topic then, no reason to talk about that anymore"", Catherine said forcefully. ""What should we do now?"" ""Now"", Eleanor thought, then answered, ""now we watch television, DUH."" The word ""duh"" reverberated in Catherine's head a few times, then a sly smile grew across her face. She looked at Eleanor and realized what had happened. Cat knew that Eleanor had no clue, and she was about to have a lot of fun. ""Why watch television when we have each other as company?"" Cat said to Eleanor, her voice sounding seductive. Cat started to stretch, trying to emphasize her figure to Eleanor who looked at her. ""Ha, what do you mean?"" Eleanor asked back, confused. ""I mean"", Cat said, then licked her lips. ""Our boyfriends are not around, and I know that you have eyed me before."" Eleanor laughed nervously and tried to look away from Catherine. Cat grabbed her by the chin and looked her straight in the eyes. Eleanor tried to chuckle again, but Cat put her finger up to Eleanor's mouth to stop her. The truth was that back in college Eleanor had thought about asking Catherine out. She enjoyed being with her, and found her quite pretty, but they graduated and nothing happened. Catherine soon got a boyfriend, and so did Eleanor, so Elanor just thought that she had gone through a small experimental phase in college like most women. ""Come with me to bed"". Cat told Eleanor, who felt powerless to stop her friend. Eleanor had no idea what had just happened, but felt like she had to follow her friend to bed. She had never known Catherine to be this forceful, and, she kind of liked it. Once in bed, Cat tore off Eleanor's clothes and started to make out with her, something Eleanor tried to fight for a second, but knew she couldn't and did not want to anyway. After they were done making out, Eleanor caught her breath and decided to ask what had happened. ""Catherine, what was that?"" She asked. Cat rolled over and stared at Eleanor for a moment. Cat moved her hands up and down Eleanor, who moaned. Cat could tell that Eleanor had enjoyed what they had just done, so she trusted Eleanor with the information. ""For one, I am not Catherine, I am Cat. You woke me up by saying my trigger word."" ""Trigger word?"" Eleanor asked back. ""Yes, it is a word that, if said, puts Catherine to sleep and wakes up Cat, or me. Dave thought it would be hot to give Catherine a more seductive personality and Catherine agreed because she loves Dave."" ""Oh"", Eleanor answered back, feeling guilty for cheating not only on Dave, but also Carmicheal. ""Don't worry, I don't even care for Dave, that is Catherine that likes him. I find him to be a bore, unlike you."" Cat said, then smiled. Cat licked her lips and stared at Eleanor with bedroom eyes. ""So, if you don't mind me asking, what is the trigger word?"" Eleanor asked. ""Hahahaha, I know what you are thinking Eleanor, and I like it. It was duh"". ""Oh, duh"", Eleanor answered back, then covered her mouth, hopeful she did not just bring Catherine back. This would be an awful time for that. Cat laughed then continued. ""Don't worry, duh is not the word to bring me back."" ""Oh, can I know what that word is then?"" Eleanor asked. Cat wrapped her arms around Eleanor and whispered in her ear. ""I will tell you later. For now, how about we enjoy each other's company some more."""
44,Baking a la dumpster fire,SomeoneWithAReallyLongName,Hermitcraft SMP,[],23 Mar 2023,"['No Archive Warnings Apply', 'John Booko | BdoubleO100', 'Natalie Arnold | StressMonster101', 'Baking', 'Christmas', 'its definitely Christmas time', 'Mhm Mhm yeah', 'from an unfinished collection', 'sorry that’s my bad', 'Bdubs is bad at baking']",No,"Bdubs wants to help cook for the big Christmas dinner!… unfortunately he can’t cook to save his life.This was part of an unreleased Christmas collection that is now being uploaded separately. Enjoy, and pretend that it’s Christmas so this isn’t as horribly timed",English,537,1/1,,,,1,"Why was baking so difficult?The video made it seem so easy - mix together the dry ingredients, add the egg and the milk, steam it and flame it and bam! You have one perfect pudding.Bdubs tried his best, he really did! But for some reason his kitchen just did not agree with him.He’d been assigned the job of making the pudding for the big Christmas dinner the hermits were all organising. Sure, technically he’d never had or made a pudding before, but there’s a first time for everything! What’s the worst that could happen, he thought.Well, this probably wasn’t the worst, but it had to be close.The first mixture was lumpy and dry, the second one got dropped on the floor on accident, and the third one caught fire and burnt to a crisp almost immediately.Bdubs was staring at the remains of pudding number 3, wondering how on earth he’d managed to screw up the same recipe in three seperate ways.He didn’t really mind that he’d messed it up - he made mistakes often, and this would be easier to clean up than the other puddings - but it was the fact there he’d done it repeatedly in the span of 3 hours was the part that really annoyed him.Why wasn’t the recipe working? He was following it so well! Was it just a lack of skill, or was something wrong with the recipe?What could he do? From what he’d gathered from the hermit’s chatter and gossip, the pudding was one of the best parts of Christmas, and here he was ruining it. Not that he’d ever really celebrated Christmas, but he was starting to understand why everyone hyped it up so much.For a while, he sat there at the bench with the burnt dessert, trying to come up with a plan b.Suddenly, he had an idea - why should he try to burn another one by himself, when he could get someone else to burn it with him!———————————————So, maybe Keralis wasn’t a great cook either, but he bet Stress was! She’d often bake cookies or cakes for the others as gifts, and they tasted incredible.After some bargaining via comms, Stress finally agreed to help as long as they’d make one shed keep. She would be here in a few minutes, and they would bake the best pudding ever known to hermitcraft!———————————————After an hour filled with laughs, messes and a considerably larger amount of carefulness, two perfectly shaped and cooked puddings sat on front of the satisfied bakers.Stress offered him a piece of hers, which he took gratefully. He scooped up a small amount with his spoon, lifted it up to his mouth and-Oh.
Oh.
So that’s why people loved them so much.It crumbled beautifully in his mouth, releasing flavours of fruits, nuts and spices that all mixed together to create a flavour that couldn’t really be described as anything but ‘Christmas-y’.Taking another bite, and then another, he started to realise that one pudding wouldn’t be enough to feed a whole server, he’d probably need at least another 4 or 5…Well, he knew what he’d spend the rest of his day doing!"
45,A Superpower Suicide Pact (It Must Be MAD!!!),MrLexicon2001,FOC - Fandom,[],23 Mar 2023,['No Archive Warnings Apply'],No,,English,449,1/1,,,,1,"The Cold War shall soon turn hotFolks, it's not another Soviet PlotProfound and terrifying doom and gloomWill be delivered to your doorstep soonThere'll be no winners, not the east or westIn a nuclear holocaust, nothing is blessedThe world will be engulfed in blazing fireThis is something only a madman or devil could desireOur horrendous leaders will be the causeOf the true war to end all fucking warsThe nuclear football will be hastily preparedNot one innocent on this blue ball will be sparedThey'll enter all the codes for the nuclear payloadsAnd watch with keen eyes as the whole world explodesYou'll glance incredulously at the blackened skies aboveNothing can save you, not a bunker or a merciful God's lovePrepare yourself for the inevitable and realise the undeniable factThat the time has come for the superpowers to fulfil the suicide pactIt's not a computer error or another fucking hoaxIt's time to duck and cover; that's all you can do, folks!Men drunk on power will be our undoing as they grow unhingedNow the earth shall be set ablaze and be forever singedA doomsday prophet is sure to be giddily ecstaticAs he is now considered a Nostradamus, not an insane fanaticWhen apocalypse merchants speak, heed every last wordWhat they say may be unbelievable, but little is truly absurdKings with absolute power and desperate paupers alikeWill all meet the very same fate after the first strikeIt matters not if you live in a rich or poor communityThe bombs can't discriminate; they'll kill with impunityThis will undeniably be an incredibly sordid affairFind comfort in obliteration or desperate prayerWhen those ever-fearsome missiles are let looseHumanity will, at long last, finish tying its own nooseOnce these two great powers have finally clashedAll hope for a speedy recovery will be quickly dashedCrippling fear of the unknown will overtake common senseThe destruction of land and mind has been immenseThis generation and many more will be definedBy that which has led to the obliteration of mankindPetty old-world rivalries have at last been destroyedAnd all it took was all the nukes in the world to be deployedPeople's hope and patriotism will only continue to fadeAs governments collapse and citizens grow more afraidThe slate has been wiped clean; we must begin anewAnd craft a prosperous world from the ashes for me and youTogether, we shall face the horrifying prospect of a nuclear winterThe very seams of the fabric of society may rip, but we won't splinter...."
46,Down Below,Castelau,"Mass Effect Trilogy, Mass Effect - All Media Types",[],23 Mar 2023,"['No Archive Warnings Apply', 'Saren Arterius', 'Avitus Rix', 'Pre-Canon', 'Reapers (Mass Effect)', 'Indoctrination (Mass Effect)', 'Mentions of genocide', 'Allusions to execution']",No,"Luck, sometimes, is something to share.For the Shrimp Skwad Surprise Challenge 003 - Luck",English,777,1/1,,1,,1,"The city above is beautiful; the shining jewel at the heart of fifteen thousand years of their people’s culture. A place so remarked upon for its beauty that at least one Asari guidebook describes it as ‘so beautiful one could hardly believe it is turian at all’. Typical attitude.If they knew what lay below the silver streets and towering, golden buildings, well, perhaps they would revise their opinions.But as far as anyone outside of the hierarchy knew, there was nothing below there.Saren knew better, primarily because he’d spent his own time down in this miserable place. Just shy of a year without seeing sun or sky, mired in grief so intense that he had rather got the impression that he’d buried himself in the rubble to the east of this non-existent place.It was easy to remember his pain now, the genuine questioning of whether he had already died without realising it and whether this was simply all that came next. The damp, earthy surroundings were fitting of a grave, even without the pervading scent of rot - one could easily allow themselves to believe they would stumble across their own corpse in a place like this.But this time, he knew that he would get to leave again.Whether the man - still and quiet as if he’d given up life already - would be afforded the same good fortune that he would remained to be seen.Realistically speaking, to even make it this far, Rix had already been unbelievably lucky.He’d read the official report - it’d flagged itself given the content it held - and then out of curiosity he’d read the file of the man it discussed. Lifer, single, no dependents, no registered next of kin. Last of his legion.And after this, not even a passing acquaintance who was willing to put name to knowing him.He’d had that much, at least. Dirus had been a family and they at least had not turned their backs on him, even after everything he had done. He knew that was the only reason he had been lucky enough to be offered a chance.“If you’re going to stare at me like a zoo animal, you could at least go do so via the cameras.”  He… hadn’t even realised that Rix was awake, or that he was in any way aware that he was being watched.“The cameras are offline.” This drew the first sign of life from him, one black eye cracking open. “They will remain that way for some time, I suspect. Perhaps we should use this time productively.”“To do what?” The eye slipped closed once more with an exasperated huff. “Considering I’m still breathing, you’re not here to kill me, are you?”Briefly, he entertained the thought. Get the answers he desired and then… put him out of his misery lest it be dragged out any further than was necessary. “I wish to question you about what happened down there.”“You’re a Spectre, Arterius, go read the report.” He rolled onto his side - turning his back to him. “It was written by people a lot fucking smarter than me. I’m just the animal that pushed a button.”Just the person who’d pushed the button. He’d said it about himself, once.“They were not on the ground, were they?” He straightened up, waited for this to draw a reaction and… when it didn’t, continued all the same. “It was hard to think down there, was it not? You described their behaviour as cult-like and… there was an object which they were worshipping, was there not? Something which was impossible to describe?”In an instant, Rix was on his feet, face pressed against the bars with a feral hiss. “How do you know that?”Because he’d seen it before, first hand. Had paid too great a price in discovering that there was only one solution to that situation. He didn’t need him to describe it, didn’t need any other questions answered. The terror and anger in his subvocals was all the proof he’d ever need to know that bombing Dregir had been the right thing to do, for all that Rix was torturing himself over it.Again, something that felt like kinship intermingling with pity bubbled up.Lifer, single, no dependents, no registered next of kin. Nobody to miss him when the hierarchy’s attempt to save face and neatly apportion blame in one fell swoop landed him in an unmarked grave.He’d been lucky.Maybe it was time to share some of that luck with another unwitting victim.Saren raised a hand - Rix backed off warily - and the door lock shorted out. ‘Come with me.”"
47,Sun Eater,Blessed_Affliction,KinnPorsche: The Series (TV),[],23 Mar 2023,"['No Archive Warnings Apply', 'Gun Theerapanyakun', 'Vegas Kornwit Theerapanyakun', 'OFC', 'OMC', 'Underage - Freeform', 'mafia', 'Gun Theerapanyakun Being an Asshole', 'Bad Parent Gun Theerapanyakun', 'Protective Vegas Kornwit Theerapanyakun', 'Vegas Kornwit Theerapanyakun Tries', 'Cute Vegas Kornwit Theerapanyakun', 'Good Sibling Vegas Kornwit Theerapanyakun', 'Bottom Vegas Kornwit Theerapanyakun', 'Attempted Sexual Assault', 'Canon-Typical Violence', 'Blood and Violence', 'Implied/Referenced Torture', 'Pre-Canon']",No,"Vegas is a teenager growing up without a mother and in the mafia. On top of that, he has to constantly work to please his father and to try and beat his cousin Kinn at everything. Once he turns fifteen, Gun sees him as a de facto adult and treats him as such, increasing his expectations even more and setting the bar extremely high. Vegas has little choice but to try and meet those expectactions in whichever ways he can.",English,649,1/?,,,,1,"Chapter Text

“Your father wants you in his office, you should hurry!” 






“Am I acceptable like this, Nanny Madee?” Vegas asks. 






The woman eyes him over the rim of her glasses. 






“Hm. Put a satin shirt on. I’ve had a few cleaned and pressed for you, they are in your wardrobe.” 






“Thank you, Nanny.” 






“It’ll be fine, young master.”






Vegas nods. He knows his father, and he knows it won’t be fine. But his nanny, as much as his father yells at her and insults her, seems to have gained an unshakeable sympathy for Vegas, although he is bristly and cold. Not because he doesn’t like her (in fact, he does, and a lot at that), but because he knows one of these days his father will have her disappear without a trace and he won’t be given the luxury of mourning the loss. 






He changes his shirt and has one last critical look at himself in the full length mirror before heading to his father’s office. 






“How old are you now?” Gun asks, once Vegas is finished bowing before him. 






“Fifteen, Pa.” Vegas answers. Technically, he’s not fifteen yet, his birthday is in two weeks, but he’s entered the year in which he turns that age. 






His first thought at his father’s question is, why does it matter? Vegas soon realises that fifteen is the age of consent in his country, but that can’t be it. He’s pretty sure his father would kill him if he found out he had sex - luckily, the thought has not crossed Vegas’ mind, not even as a way of rebelling. He’s too busy to look at people that way.






“So you’re a fully grown man then.” Gun says, measuring his son up and down with a critical gaze. “Grown is overstating things, but anyway. Mr Liu Wei is someone I met at a casino during a Texas Hold’em tournament and he would like to do business with our family. I have somewhere I need to be so I’m sending you in my stead. I expect you to return with a sealed deal and also, you should gain the favour of Mr Liu Wei’s family so they will want to do business exclusively with us from now on.” 






“Understood, Pa.” 






“I want you to be pleasant and use your charm to get Mr Liu Wei to want to sign with our family. Wash yourself, do your hair, dress expensive, put on jewels. I need this deal.”






“Yes, Pa. I won’t let you down.” Vegas says, bowing again. 






“Oh, and Vegas? If you fail, don’t bother showing up back here.”













Vegas is driven by two of his father’s bodyguards to a private villa that is not on the navigation map. He gets dropped off at the gate and once he is allowed through it, the bodyguards drive off and he is left walking up a steep hill to get to the river rock alley leading to the villa itself. 






“Khun Vegas of the Theerapanyakul family. Welcome. Mr Liu Wei is expecting you.” One of the bodyguards greets Vegas and shows him inside, through a labyrinth of corridors, an elevator, two flights of stairs and countless turns. Eventually, the bodyguard opens a heavy door before Vegas and shows him inside. 






It’s a very imposing office, and a fat man in his fifties is sitting at the desk. 






“Ah. Vegas, right?” The man says, gesturing for Vegas to approach and have a seat on the opposite side of the heavy desk. 






Vegas can immediately tell this meeting is not set to go his way. He is a guest, feeling awkward, a stranger in this man’s home, and the one asking for something. 






Luckily, he came prepared. 






“I’ve heard a lot about you from your father, only good things of course. I believe we will do good business together, you and I.” 






“That is my hope as well, sir.”"
48,chrysalis,gunslinger (pillars),BoBoiBoy (Cartoon),[],23 Mar 2023,"['Underage', 'Fang (BoBoiBoy)', 'Kaizo (BoBoiBoy)', 'Incest', 'Sibling Incest', 'Brother/Brother Incest', 'Vaginal Fingering', 'Trans Character', 'Trans Male Character', 'Trans Male Fang (BoBoiBoy)', 'FTM Fang (BoBoiBoy)']",No,Fang dresses up in a pretty sundress.,English,197,1/1,,,,5,"Fang dresses up in a pretty sundress that his big brother had bought for him because it's summer and he twirls around in it, the little skirt hiking up his thighs, feeling beautiful for the first time in a while, but Fang can't help but flush when he feels Kaizo looking at him so intensely, as if he might just eat him up.""Wow, Pang, you are really blossoming into the most beautiful flower there is,"" Kaizo says in awe, sounding breathless as he feels, as he pulls Fang on top of his lap, straddling his hips with one knee pressed to each side. He places a hand on Fang's thigh, letting his fingers slip inside of his sundress and creep up his plush flesh. ""I love watching you bloom so prettily.""Fang lets out a whimper when Kaizo's fingers press against the inside of his thighs, feeling for the damp spot growing at the front of his panties and pushing his slick folds wide apart. This isn't right, he thinks. This is so wrong for Kaizo to do as his big brother. But it feels so good, so good that he wants it to be right."
